ACWO_1,ACWO_2,ACWO_3,ACWO_4,ACWO_5,ACWO_6,ADMO_1,ADMO_2,ADMO_3,ADMO_4,ADMO_5,ADMO_6,ADRR_1,ADRR_2,ADRR_3,ADRR_4,ADRR_5,ADRR_6,CSO_1,CSO_2,CSO_3,CSO_4,CSO_5,CSO_6,HTB_1,HTB_2,HTB_3,HTB_4,HTB_5,HTB_6,ITP_1,ITP_2,ITP_3,ITP_4,ITP_5,ITP_6,PPL_1,PPL_2,PPL_3,PPL_4,PPL_5,PPL_6,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RRR_6,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,Abnormal
0.0,0.0,0.0,0.0,0.0,0.0,1303.0,1245.0,1221.0,2250.0,1983.0,1597.0,373.0,539.0,436.0,468.0,551.0,492.0,27837.0,27837.0,27837.0,27837.0,27837.0,27837.0,96.0,95.0,96.0,94.0,91.0,86.0,2920.0,2920.0,2920.0,3095.0,3295.0,3295.0,23000.0,23000.0,22750.0,21840.0,21680.0,20500.0,3270.0,3296.0,3806.0,5576.0,5627.0,7078.0,160.0,160.0,160.0,160.0,160.0,160.0,25813.0,25839.0,26099.0,26784.0,26475.0,26746.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1819.0,1480.0,1584.0,1939.0,2519.0,2562.0,312.0,308.0,317.0,319.0,318.0,287.0,30855.0,30855.0,30855.0,30855.0,30855.0,30855.0,46.0,45.0,43.0,44.0,52.0,52.0,3095.0,3095.0,3095.0,3095.0,3095.0,3095.0,15000.0,15100.0,14990.0,14950.0,14460.0,14500.0,15609.0,15768.0,15762.0,15899.0,16619.0,16472.0,180.0,180.0,180.0,180.0,180.0,180.0,29997.0,30256.0,30140.0,30237.0,30467.0,30360.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2602.0,2380.0,2059.0,1782.0,2564.0,1907.0,430.0,429.0,433.0,433.0,430.0,326.0,29745.0,29745.0,29745.0,29745.0,29745.0,29745.0,38.0,39.0,37.0,39.0,40.0,39.0,3495.0,3495.0,3090.0,3495.0,3495.0,3495.0,16150.0,15640.0,15950.0,15870.0,15550.0,15690.0,15109.0,14921.0,13812.0,13837.0,14794.0,13847.0,180.0,180.0,180.0,180.0,180.0,180.0,30247.0,29549.0,29155.0,28695.0,29332.0,28525.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2303.0,2702.0,2078.0,2293.0,2339.0,2293.0,157.0,235.0,235.0,235.0,235.0,235.0,30246.0,30246.0,30246.0,30246.0,30246.0,30246.0,35.0,35.0,34.0,35.0,40.0,43.0,3188.0,3188.0,3188.0,3188.0,3188.0,3188.0,16280.0,16400.0,16740.0,16240.0,15700.0,16250.0,13952.0,13814.0,13078.0,14040.0,14476.0,13735.0,180.0,180.0,180.0,180.0,180.0,180.0,29527.0,29509.0,29113.0,29575.0,29471.0,29280.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1673.0,1679.0,1803.0,1954.0,1892.0,2035.0,448.0,329.0,339.0,439.0,449.0,454.0,30471.0,30471.0,30471.0,30471.0,30471.0,30471.0,58.0,56.0,54.0,53.0,53.0,56.0,2895.0,2895.0,2895.0,2895.0,2895.0,3295.0,13750.0,13750.0,13750.0,13750.0,14000.0,13800.0,14306.0,14112.0,13638.0,13756.0,13312.0,13906.0,160.0,160.0,160.0,160.0,160.0,160.0,27624.0,27430.0,26956.0,27074.0,26880.0,26874.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1787.0,1414.0,747.0,794.0,772.0,900.0,466.0,485.0,476.0,309.0,313.0,479.0,29883.0,29883.0,29883.0,29883.0,29883.0,29883.0,69.0,71.0,72.0,74.0,76.0,80.0,3425.0,3425.0,3625.0,3625.0,3625.0,3625.0,15660.0,15500.0,15250.0,15500.0,16500.0,18000.0,15059.0,14846.0,14030.0,13958.0,12786.0,11264.0,160.0,160.0,160.0,160.0,160.0,160.0,29757.0,29384.0,28118.0,28296.0,28124.0,28102.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1412.0,2040.0,2040.0,2194.0,1543.0,1149.0,503.0,784.0,493.0,482.0,506.0,346.0,29997.0,29997.0,29997.0,29997.0,29997.0,29997.0,40.0,40.0,38.0,39.0,38.0,39.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,15200.0,15270.0,15200.0,15250.0,15250.0,15000.0,12725.0,12828.0,12899.0,12405.0,11658.0,11406.0,180.0,180.0,180.0,180.0,180.0,180.0,27288.0,27461.0,27462.0,27018.0,26271.0,25769.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1756.0,2170.0,1247.0,1303.0,1237.0,1308.0,397.0,395.0,401.0,402.0,392.0,271.0,28074.0,28074.0,28074.0,28074.0,28074.0,28074.0,56.0,56.0,57.0,57.0,57.0,56.0,3095.0,3095.0,3095.0,3295.0,3295.0,3095.0,13190.0,13130.0,13250.0,13250.0,13250.0,13150.0,8288.0,8292.0,6955.0,7299.0,7139.0,6910.0,160.0,160.0,160.0,160.0,160.0,160.0,20846.0,20790.0,19573.0,19717.0,19557.0,19428.0,0.0
1548.0,1204.0,1376.0,1204.0,1204.0,688.0,2913.0,2853.0,2701.0,2953.0,3153.0,3153.0,324.0,315.0,315.0,305.0,331.0,202.0,28509.0,28509.0,28509.0,28509.0,28509.0,28509.0,22.0,22.0,23.0,24.0,24.0,28.0,3095.0,3095.0,3295.0,3295.0,3295.0,3295.0,17070.0,16530.0,16660.0,16600.0,16600.0,16330.0,10713.0,10943.0,10443.0,10777.0,10846.0,11632.0,180.0,180.0,180.0,180.0,180.0,180.0,27171.0,26861.0,26291.0,26565.0,26634.0,27150.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2315.0,1902.0,2212.0,2213.0,1678.0,2653.0,277.0,277.0,290.0,285.0,280.0,299.0,30855.0,30855.0,30855.0,30855.0,30855.0,30855.0,44.0,44.0,44.0,45.0,44.0,44.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,17090.0,17010.0,16760.0,16680.0,16610.0,16120.0,15367.0,14459.0,14549.0,14701.0,13932.0,15168.0,180.0,180.0,180.0,180.0,180.0,180.0,31645.0,30657.0,30497.0,30569.0,29730.0,30476.0,0.0
