Date,ACWO_1,ACWO_2,ACWO_3,ACWO_4,ACWO_5,ACWO_6,ADMO_1,ADMO_2,ADMO_3,ADMO_4,ADMO_5,ADMO_6,ADRR_1,ADRR_2,ADRR_3,ADRR_4,ADRR_5,ADRR_6,AREG_1,AREG_2,AREG_3,AREG_4,AREG_5,AREG_6,CSO_1,CSO_2,CSO_3,CSO_4,CSO_5,CSO_6,CWE_1,CWE_2,CWE_3,CWE_4,CWE_5,CWE_6,CWWG_1,CWWG_2,CWWG_3,CWWG_4,CWWG_5,CWWG_6,CWWH_1,CWWH_2,CWWH_3,CWWH_4,CWWH_5,CWWH_6,DPB_1,DPB_2,DPB_3,DPB_4,DPB_5,DPB_6,DPH_1,DPH_2,DPH_3,DPH_4,DPH_5,DPH_6,HTB_1,HTB_2,HTB_3,HTB_4,HTB_5,HTB_6,HTH_1,HTH_2,HTH_3,HTH_4,HTH_5,HTH_6,ITP_1,ITP_2,ITP_3,ITP_4,ITP_5,ITP_6,OGO_1,OGO_2,OGO_3,OGO_4,OGO_5,OGO_6,PPL_1,PPL_2,PPL_3,PPL_4,PPL_5,PPL_6,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PWG_1,PWG_2,PWG_3,PWG_4,PWG_5,PWG_6,PWH_1,PWH_2,PWH_3,PWH_4,PWH_5,PWH_6,RRIR_1,RRIR_2,RRIR_3,RRIR_4,RRIR_5,RRIR_6,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RRR_6,RR_1,RR_2,RR_3,RR_4,RR_5,RR_6,TAGI_1,TAGI_2,TAGI_3,TAGI_4,TAGI_5,TAGI_6,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,TLRR_1,TLRR_2,TLRR_3,TLRR_4,TLRR_5,TLRR_6
2017-01-01,0,,,,,,1929,,,,,,145,,,,,,0,,,,,,30281,,,,,,No,,,,,,No,,,,,,No,,,,,,26,,,,,,24,,,,,,43,,,,,,40,,,,,,3388,,,,,,2399,,,,,,16250,,,,,,14466,,,,,,No,,,,,,No,,,,,,2483,,,,,,180,,,,,,2303,,,,,,33199,,,,,,29811,,,,,,18733,,,,,
2017-01-02,0,0,,,,,2105,1929,,,,,145,205,,,,,0,0,,,,,30281,30281,,,,,No,No,,,,,No,No,,,,,No,No,,,,,25,31,,,,,24,25,,,,,40,40,,,,,39,37,,,,,3388,3388,,,,,2225,2751,,,,,17750,17800,,,,,13316,12564,,,,,No,No,,,,,No,No,,,,,2483,2483,,,,,180,180,,,,,2303,2303,,,,,33549,32847,,,,,30161,29459,,,,,20233,20283,,,,
2017-01-03,0,0,0,,,,1711,2105,1929,,,,145,205,205,,,,1,1,1,,,,30281,30281,30281,,,,No,No,No,,,,No,No,No,,,,No,No,No,,,,43,45,45,,,,39,40,41,,,,46,48,49,,,,41,43,45,,,,3588,3588,3588,,,,2205,2705,3305,,,,17690,17500,17250,,,,13202,13286,12760,,,,No,No,No,,,,No,No,No,,,,2483,2483,2483,,,,180,180,180,,,,2303,2303,2303,,,,33375,33269,32493,,,,29787,29681,28905,,,,20173,19983,19733,,,
2017-01-04,0,0,0,0,,,2060,1711,2105,1929,,,145,205,205,205,,,1,1,1,1,,,30281,30281,30281,30281,,,No,No,No,No,,,No,No,No,No,,,No,No,No,No,,,40,38,45,45,,,37,37,39,36,,,49,49,49,49,,,45,46,43,45,,,3588,3588,3588,3588,,,1863,2323,2923,3123,,,16980,17060,17250,17150,,,14603,13714,13318,13042,,,No,No,No,No,,,No,No,No,No,,,2483,2483,2483,2483,,,180,180,180,180,,,2303,2303,2303,2303,,,34066,33257,33051,32675,,,30478,29669,29463,29087,,,19463,19543,19733,19633,,
2017-01-05,160,0,0,321,482,,1822,2060,1711,2105,1929,,145,205,205,205,205,,1,1,1,1,1,,30281,30281,30281,30281,30281,,No,No,No,No,No,,No,No,No,No,No,,No,No,No,No,No,,10,20,26,10,13,,8,10,22,9,7,,35,36,37,33,32,,33,33,35,32,31,,3588,3588,3588,3588,3588,,1927,2475,2930,3130,3280,,18060,18090,17980,18250,18250,,13061,12881,12187,11790,11303,,No,No,No,No,No,,No,No,No,No,No,,2483,2483,2483,2483,2483,,180,180,180,180,180,,2303,2303,2303,2303,2303,,33604,33454,32650,32523,32036,,30016,29866,29062,28935,28448,,20543,20573,20463,20733,20733,
2017-01-06,482,482,321,321,482,803,2212,1822,2060,1711,2105,1929,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,19,17,13,16,15,6,12,15,9,14,11,4,32,31,31,32,33,29,30,29,31,31,30,28,3588,3588,3588,3588,3588,3588,1796,2396,2646,3051,3201,3351,17900,17860,17830,17940,18000,18100,13420,12470,12649,11785,11808,11061,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33803,32813,32962,32208,32291,31644,30215,29225,29374,28620,28703,28056,20383,20343,20313,20423,20483,20583
2017-01-07,1285,803,964,803,642,964,1937,2212,1822,2060,1711,2105,145,205,205,205,205,205,0,0,0,0,0,0,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,18,8,7,6,11,8,11,4,2,5,7,5,26,28,29,30,31,28,23,26,27,28,29,26,3388,3388,3388,3388,3388,3388,3065,2442,2692,2942,3247,3397,17850,17350,17330,17160,17300,17500,10923,12803,12022,12341,11708,11430,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,31256,32636,31835,31984,31491,31413,27868,29248,28447,28596,28103,28025,20333,19833,19813,19643,19783,19983
2017-01-08,1767,1767,1446,1446,1446,1285,1686,1937,2212,1822,2060,1711,145,205,205,205,205,205,0,0,0,0,0,0,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15,7,5,7,5,10,3,0,-2,2,3,8,23,24,26,26,27,28,22,23,24,24,25,25,3388,3388,3388,3388,3388,3388,3073,3617,2672,2922,3172,3377,18450,18400,18100,18010,17910,17960,9582,9339,11180,10630,10718,10275,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,30515,30222,31763,31123,31111,30718,27127,26834,28375,27735,27723,27330,20933,20883,20583,20493,20393,20443
2017-01-09,1767,1446,1124,1606,1928,1606,2131,1686,1937,2212,1822,2060,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,12,14,15,11,-3,0,6,6,1,-3,-5,-1,22,23,26,23,21,25,23,24,25,24,21,25,3388,3388,3388,3388,3388,3588,2426,2630,3807,3284,3514,3764,19610,19400,19400,19400,19290,19100,9514,9396,8792,9108,8276,8976,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,31607,31279,30675,30991,30049,30559,28219,27891,27287,27603,26661,26971,22093,21883,21883,21883,21773,21583
2017-01-10,0,0,0,0,0,0,2039,2131,1686,1937,2212,1822,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,35,34,34,17,15,34,32,33,32,15,12,41,41,42,41,37,35,40,38,39,37,36,33,3388,3388,3388,3388,3388,3388,2962,3214,3814,4642,3702,3932,18910,18700,18350,18300,18400,18500,11353,11403,10708,10181,11296,10576,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32746,32586,31541,30964,32179,31559,29358,29198,28153,27576,28791,28171,21393,21183,20833,20783,20883,20983
2017-01-11,0,0,0,0,0,0,2578,2039,2131,1686,1937,2212,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,40,41,42,46,41,35,36,38,40,42,37,49,47,47,49,50,48,48,47,46,48,48,45,3388,3388,3388,3388,3388,3388,2208,2666,2994,3194,3294,3544,17160,17140,17200,17000,17100,17550,14396,13419,13123,12678,12729,12304,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,34039,33042,32806,32161,32312,32337,30651,29654,29418,28773,28924,28949,19643,19623,19683,19483,19583,20033
2017-01-12,0,0,0,0,0,0,2114,2578,2039,2131,1686,1937,145,205,205,205,205,205,1,1,1,1,1,1,30280,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,46,44,35,31,48,47,47,41,32,28,53,51,52,48,46,42,52,52,51,48,45,42,3388,3388,3388,3388,3388,3388,2789,2754,2661,3176,3326,3530,16780,16780,16710,17000,17150,17200,13730,14230,13854,13141,12396,12393,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32993,33493,33047,32624,32029,32076,29605,30105,29659,29236,28641,28688,19263,19263,19193,19483,19633,19683
2017-01-13,0,0,0,0,0,0,2146,2114,2578,2039,2131,1686,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,48,47,46,42,41,47,47,47,47,41,38,53,53,51,52,51,50,52,51,51,50,49,47,3388,3388,3388,3388,3388,3388,2504,2739,2691,2873,3288,3438,16850,16920,16950,16390,16160,16500,13977,13640,14123,13962,13869,12934,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33310,33043,33556,32835,32512,31917,29922,29655,30168,29447,29124,28529,19333,19403,19433,18873,18643,18983
2017-01-14,321,642,803,642,160,0,2699,2146,2114,2578,2039,2131,145,205,205,205,205,205,0,0,0,0,0,0,30280,30280,30280,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,11,1,0,13,32,5,6,0,0,10,33,30,27,27,28,32,42,32,29,28,29,31,41,3388,3388,3388,3388,3388,3588,2799,3269,3354,3206,3388,3703,16530,16960,16960,16860,16680,16200,14234,12460,12182,13056,12997,13614,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33247,31903,31625,32399,32160,32297,29859,28515,28237,29011,28772,28709,19013,19443,19443,19343,19163,18683
2017-01-15,0,482,321,160,160,0,2044,2699,2146,2114,2578,2039,145,205,205,205,205,205,0,0,0,0,0,0,30280,30280,30280,30280,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13,12,10,11,14,22,14,14,14,16,17,22,36,35,35,35,35,35,36,35,35,36,36,35,3388,3388,3388,3388,3388,3388,2769,3249,3599,3734,3436,3616,16730,16850,16930,16880,16810,16770,13730,13303,12481,12525,13358,12839,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32943,32636,31894,31888,32651,32092,29555,29248,28506,28500,29263,28704,19213,19333,19413,19363,19293,19253
2017-01-16,0,0,0,0,0,0,1884,2044,2699,2146,2114,2578,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,17,15,11,17,21,24,16,15,11,18,21,25,40,39,37,38,37,39,40,39,37,38,36,38,3388,3388,3388,3388,3388,3588,3592,3880,4110,3950,3885,3637,17410,17280,17490,17630,17550,17490,12067,12069,12284,11751,11864,12837,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,31960,31832,32257,31864,31897,32810,28572,28444,28869,28476,28509,29222,19893,19763,19973,20113,20033,19973
2017-01-17,0,0,0,0,0,0,2506,1884,2044,2699,2146,2114,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,26,35,26,35,34,27,23,34,28,35,34,40,41,40,42,44,44,39,41,38,43,43,43,3588,3588,3588,3588,3588,3588,2750,3476,3483,3823,3463,3328,17550,17330,17540,17260,17180,17200,13591,12463,12406,13001,12888,12971,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33624,32276,32429,32744,32551,32654,30036,28688,28841,29156,28963,29066,20033,19813,20023,19743,19663,19683
2017-01-18,0,0,0,0,0,0,1920,2506,1884,2044,2699,2146,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37,37,37,41,43,40,35,34,34,38,40,39,40,41,43,45,48,47,37,38,40,44,47,48,3588,3588,3588,3588,3588,3588,2975,3173,3417,3667,4017,3607,17600,17440,17320,16850,16830,17000,12730,13278,12532,12912,13237,12924,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32813,33201,32335,32245,32550,32407,29225,29613,28747,28657,28962,28819,20083,19923,19803,19333,19313,19483
2017-01-19,0,0,0,0,0,0,1769,1920,2506,1884,2044,2699,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,33,35,34,34,34,38,31,33,34,34,34,37,46,44,42,42,46,49,44,45,44,43,46,48,3588,3588,3588,3588,3588,3588,3012,3190,3158,3402,3652,3902,16830,16880,16930,17000,16710,16540,13312,13235,13803,12867,13067,13642,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32625,32598,33216,32350,32260,32665,29037,29010,29628,28762,28672,29077,19313,19363,19413,19483,19193,19023
2017-01-20,0,0,0,0,0,0,1892,1769,1920,2506,1884,2044,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,31,30,32,34,34,32,30,30,33,34,33,31,42,41,42,42,43,44,42,41,44,43,44,45,3588,3588,3588,3588,3588,3588,2873,3323,3923,3541,3785,4035,16550,16520,16560,16580,16440,16370,13854,13311,12822,13770,13044,13024,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32887,32314,31865,32833,31967,31877,29299,28726,28277,29245,28379,28289,19033,19003,19043,19063,18923,18853
2017-01-21,0,0,0,0,0,0,1734,1892,1769,1920,2506,1884,145,205,205,205,205,205,0,0,0,0,0,0,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40,40,38,35,36,33,41,41,40,35,35,32,49,47,44,44,43,43,51,48,49,45,43,43,3388,3388,3388,3388,3388,3588,3725,3068,3528,3728,3376,3620,15200,15150,15290,15510,15510,15480,13994,14859,14136,13867,14805,14169,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,31677,32492,31909,31860,32798,32132,28289,29104,28521,28472,29410,28544,17683,17633,17773,17993,17993,17963
2017-01-22,0,0,0,0,0,0,1693,1734,1892,1769,1920,2506,145,205,205,205,205,205,0,0,0,0,0,0,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,39,36,35,30,30,40,39,39,35,33,30,45,43,42,43,41,42,47,47,46,44,42,43,3388,3388,3388,3388,3388,3388,3110,3653,3318,3818,3968,3626,15800,15920,16060,16180,16140,15890,13968,13346,13699,12956,12997,14175,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32251,31749,32242,31619,31620,32548,28863,28361,28854,28231,28232,29160,18283,18403,18543,18663,18623,18373
2017-01-23,0,0,0,0,0,0,1763,1693,1734,1892,1769,1920,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,38,37,39,41,34,34,35,35,38,40,35,38,41,41,44,46,45,39,40,38,42,44,44,3588,3588,3588,3588,3588,3388,2803,3169,3431,3681,4016,4166,17800,17700,17800,17700,17420,17160,12545,12209,11888,11896,11718,11779,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32828,32392,32171,32079,31621,31422,29240,28804,28583,28491,28033,28034,20283,20183,20283,20183,19903,19643
2017-01-24,0,0,0,0,0,0,1997,1763,1693,1734,1892,1769,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,44,41,38,42,45,35,38,37,36,39,44,44,45,44,42,45,50,38,39,40,39,42,50,3588,3588,3588,3588,3588,3588,3185,3480,3730,3980,4230,4193,17700,17380,17150,17450,17060,16630,12497,12288,12198,11689,11987,12331,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32680,32151,31831,31622,31530,31444,29092,28563,28243,28034,27942,27856,20183,19863,19633,19933,19543,19113
2017-01-25,0,0,0,0,0,0,2189,1997,1763,1693,1734,1892,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29,34,32,31,31,32,28,32,34,31,31,32,45,46,46,45,44,45,43,45,45,44,43,44,3588,3588,3588,3588,3588,3588,2535,3019,3356,3606,3856,4106,16800,17000,16720,16800,16880,16740,14239,13363,13072,12672,12383,12431,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33522,32846,32275,31955,31746,31654,29934,29258,28687,28367,28158,28066,19283,19483,19203,19283,19363,19223
2017-01-26,0,0,0,0,0,0,1989,2189,1997,1763,1693,1734,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40,40,37,34,32,32,38,38,33,32,31,31,50,49,49,47,45,45,47,47,47,47,44,44,3588,3588,3588,3588,3588,3588,3401,3070,3621,3608,3858,4108,16400,16500,16850,16470,16700,16760,13573,14004,12911,13070,12520,12251,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32456,32987,32244,32023,31703,31494,28868,29399,28656,28435,28115,27906,18883,18983,19333,18953,19183,19243
2017-01-27,0,0,0,0,0,0,2028,1989,2189,1997,1763,1693,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22,23,24,23,22,23,21,21,23,22,21,22,42,42,41,42,41,41,40,40,39,40,40,40,3588,3588,3588,3588,3588,3588,3324,3426,3195,3346,3383,3633,16360,16550,16650,16750,16540,16700,13729,13398,13729,13286,13225,12745,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32572,32431,32862,32519,32248,31928,28984,28843,29274,28931,28660,28340,18843,19033,19133,19233,19023,19183
2017-01-28,0,0,0,0,0,0,2485,2028,1989,2189,1997,1763,145,205,205,205,205,205,0,0,0,0,0,0,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22,23,22,18,18,17,19,20,18,17,17,17,41,40,40,39,38,38,39,38,38,37,37,36,3388,3388,3388,3388,3388,3388,3677,4173,4375,3346,3496,3633,15650,15720,15750,15800,16000,15890,14343,13320,13049,14228,13686,13425,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32476,31523,31282,32511,32169,31798,29088,28135,27894,29123,28781,28410,18133,18203,18233,18283,18483,18373
2017-01-29,0,0,0,0,0,0,2237,2485,2028,1989,2189,1997,145,205,205,205,205,205,0,0,0,0,0,0,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22,21,20,17,17,17,19,19,16,14,16,16,42,41,40,39,38,38,40,38,38,37,38,36,3388,3388,3388,3388,3388,3388,2889,3335,3684,3486,3249,3399,16000,16060,16110,16200,16250,16500,14533,14275,13419,13488,13875,13283,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33016,32818,32012,32171,32608,32266,29628,29430,28624,28783,29220,28878,18483,18543,18593,18683,18733,18983
2017-01-30,321,321,160,482,482,160,2071,2237,2485,2028,1989,2189,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13,12,14,12,10,15,12,10,11,10,9,15,34,35,34,34,33,35,33,33,35,33,32,35,3588,3588,3588,3588,3588,3588,2869,3369,3935,3884,3636,3399,17600,17660,17620,17720,17800,17600,12666,12272,12155,11327,11456,12415,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32749,32415,32258,31530,31739,32498,29161,28827,28670,27942,28151,28910,20083,20143,20103,20203,20283,20083
2017-01-31,321,160,0,0,321,0,2169,2071,2237,2485,2028,1989,145,205,205,205,205,205,1,1,1,1,1,1,30280,30280,30280,30280,30280,30280,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15,16,22,12,11,17,17,19,23,14,10,16,32,33,35,35,33,34,30,32,34,33,33,34,3588,3588,3588,3588,3588,3588,2885,3103,3703,3884,4031,3783,18050,17780,17700,17740,17830,17750,12298,12413,12219,12246,11231,11841,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32831,32676,32402,32469,31544,32074,29243,29088,28814,28881,27956,28486,20533,20263,20183,20223,20313,20233
2017-02-01,0,0,0,0,0,0,1938,2169,2071,2237,2485,2028,157,235,235,235,235,235,1,1,1,1,1,1,30246,30246,30246,30246,30246,30246,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,25,26,25,23,22,22,24,23,22,17,21,21,42,40,40,38,36,36,41,40,40,38,36,35,3588,3588,3588,3588,3588,3588,2031,2497,2460,2660,2810,2956,17200,17350,17260,17320,17510,17560,14058,13673,13702,13608,13516,12863,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33741,33506,33445,33411,33509,32906,30153,29918,29857,29823,29921,29318,19683,19833,19743,19803,19993,20043
2017-02-02,0,0,482,321,803,642,1915,1938,2169,2071,2237,2485,157,235,235,235,235,235,1,1,1,1,1,1,30246,30246,30246,30246,30246,30246,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20,19,19,15,8,12,18,16,13,11,8,12,38,37,36,36,32,32,36,35,34,35,31,32,2888,2888,2888,2888,3588,3588,2235,2717,3308,2871,3021,3171,17350,17400,17600,17480,17790,17750,12981,12472,11430,12050,11974,12273,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32814,32355,31513,32013,32247,32506,29926,29467,28625,29125,28659,28918,19833,19883,20083,19963,20273,20233
2017-02-03,642,642,482,964,964,1124,2269,1915,1938,2169,2071,2237,157,235,235,235,235,235,1,1,1,1,1,1,30246,30246,30246,30246,30246,30246,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,11,9,8,6,4,2,8,7,5,4,2,3,32,32,33,31,29,27,31,31,32,29,29,28,3588,3588,3588,3588,3588,3588,2037,2495,3077,3268,2781,2931,17250,17200,17100,17400,17430,17570,13691,12929,12630,11888,12247,11963,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33424,32612,32213,31771,32160,32016,29836,29024,28625,28183,28572,28428,19733,19683,19583,19883,19913,20053
2017-02-04,482,642,803,642,803,1285,1935,2269,1915,1938,2169,2071,157,235,235,235,235,235,0,0,0,0,0,0,30246,30246,30246,30246,30246,30246,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7,8,5,6,6,4,9,8,5,6,5,3,32,32,30,32,31,28,32,30,30,32,31,28,3388,3388,3388,3388,3388,3588,3068,3563,3719,3857,3140,2931,16500,16550,16550,16500,16700,16910,13036,12665,11994,12090,12677,12296,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32019,31698,31027,31073,31860,31689,28631,28310,27639,27685,28472,28101,18983,19033,19033,18983,19183,19393
2017-02-05,0,0,0,0,160,642,2334,1935,2269,1915,1938,2169,157,235,235,235,235,235,0,0,0,0,0,0,30246,30246,30246,30246,30246,30246,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22,22,22,18,11,9,22,21,19,17,13,9,41,41,40,38,33,31,38,38,37,36,33,31,3388,3388,3388,3388,3388,3388,2675,3175,3770,3918,4007,3290,16500,16640,16550,16600,16750,16950,14310,13271,13100,12548,12172,12438,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33293,32394,32133,31631,31405,31871,29905,29006,28745,28243,28017,28483,18983,19123,19033,19083,19233,19433
2017-02-06,0,0,0,160,0,0,2293,2334,1935,2269,1915,1938,157,235,235,235,235,235,1,1,1,1,1,1,30246,30246,30246,30246,30246,30246,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,23,10,14,16,16,23,15,15,14,14,15,21,34,35,37,38,37,39,36,35,39,37,37,39,3388,3388,3388,3388,3388,3388,1939,2401,3001,3196,3295,3406,17600,17600,17500,17600,17600,17500,13905,13484,12585,12464,12171,12183,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33988,33567,32568,32547,32254,32166,30600,30179,29180,29159,28866,28778,20083,20083,19983,20083,20083,19983
